Average,City,Code,Direction,Full,Maximum,Minimum,Month,Precipitation,WindSpeed,State,Day,Year
39,Birmingham,BHM,33,1/3/2016,46,32,1,0,4.33,Alabama,3,2016
39,Huntsville,HSV,32,1/3/2016,47,31,1,0,3.86,Alabama,3,2016
46,Mobile,MOB,35,1/3/2016,51,41,1,0.16,9.73,Alabama,3,2016
45,Montgomery,MGM,32,1/3/2016,52,38,1,0,6.86,Alabama,3,2016
34,Anchorage,ANC,19,1/3/2016,38,29,1,0.01,7.8,Alaska,3,2016
38,Annette,ANN,9,1/3/2016,44,31,1,0.09,8.7,Alaska,3,2016
30,Bethel,BET,9,1/3/2016,36,24,1,0.05,16.46,Alaska,3,2016
22,Bettles,BTT,2,1/3/2016,32,9,1,0.15,3.1,Alaska,3,2016
34,Cold Bay,CDB,20,1/3/2016,36,31,1,0.6,9.1,Alaska,3,2016
38,Cordova,CDV,9,1/3/2016,43,33,1,2.15,9.76,Alaska,3,2016
31,Delta Junction/Ft Greely,BIG,14,1/3/2016,39,23,1,0,17.9,Alaska,3,2016
14,Fairbanks,FAI,2,1/3/2016,30,4,1,0,2.2,Alaska,3,2016
27,Gulkana,GKN,14,1/3/2016,34,19,1,0.02,8.23,Alaska,3,2016
39,Homer,HOM,9,1/3/2016,42,35,1,1.22,11.26,Alaska,3,2016
40,Iliamna,ILI,9,1/3/2016,42,37,1,0,19.76,Alaska,3,2016
36,Juneau,JNU,10,1/3/2016,40,31,1,0.7,9.23,Alaska,3,2016
34,Kenai,ENA,6,1/3/2016,37,30,1,0.14,11.2,Alaska,3,2016
37,Ketchikan,KTN,15,1/3/2016,41,33,1,0.17,6.16,Alaska,3,2016
39,King Salmon,AKN,10,1/3/2016,42,35,1,0.05,18.83,Alaska,3,2016
40,Kodiak,ADQ,11,1/3/2016,42,36,1,1.3,21.8,Alaska,3,2016
27,Kotzebue,OTZ,11,1/3/2016,33,20,1,0.1,11.76,Alaska,3,2016
30,Mc Grath,MCG,15,1/3/2016,39,20,1,0.01,3.7,Alaska,3,2016
29,Nome,OME,6,1/3/2016,32,25,1,0.08,12.86,Alaska,3,2016
0,Northway,ORT,20,1/3/2016,8,-9,1,0,0.36,Alaska,3,2016
37,Palmer,PAQ,8,1/3/2016,42,32,1,0.4,10.5,Alaska,3,2016
60,Petersburg,PSG,18,1/3/2016,60,60,1,0,1.83,Alaska,3,2016
43,Sitka,SIT,19,1/3/2016,46,39,1,0.37,11.26,Alaska,3,2016
38,Skagway,SGY,14,1/3/2016,42,33,1,0.55,5.2,Alaska,3,2016
32,St Paul Island,SNP,22,1/3/2016,35,29,1,0.15,9.03,Alaska,3,2016
32,Talkeetna,TKA,2,1/3/2016,39,23,1,0.04,4.93,Alaska,3,2016
21,Tanana,TAL,8,1/3/2016,29,13,1,0,3.83,Alaska,3,2016
6,Utqiagvik (Barrow),BRW,6,1/3/2016,9,2,1,0.05,13.76,Alaska,3,2016
36,Yakutat,YAK,11,1/3/2016,40,32,1,2.42,5.93,Alaska,3,2016
41,Douglas Bisbee,DUG,6,1/3/2016,57,24,1,0,4.2,Arizona,3,2016
40,Kingman,IGM,4,1/3/2016,54,25,1,0,4.2,Arizona,3,2016
58,Phoenix,PHX,13,1/3/2016,69,45,1,0,5.8,Arizona,3,2016
56,Tucson,TUS,12,1/3/2016,69,43,1,0,12.93,Arizona,3,2016
29,Winslow,INW,27,1/3/2016,42,15,1,0,2.7,Arizona,3,2016
39,Fort Smith,FSM,27,1/3/2016,51,27,1,0,5.16,Arkansas,3,2016
38,Harrison,HRO,29,1/3/2016,48,27,1,0,7.4,Arkansas,3,2016
42,North Little Rock,LZK,0,1/3/2016,49,34,1,0,0,Arkansas,3,2016
47,Bakersfield,BFL,34,1/3/2016,60,33,1,0,2.2,California,3,2016
27,Bishop,BIH,32,1/3/2016,42,12,1,0,3.06,California,3,2016
35,China Lake,NID,21,1/3/2016,49,21,1,0,1.56,California,3,2016
44,Concord,CCR,6,1/3/2016,51,37,1,0,4.06,California,3,2016
44,Eureka,EKA,0,1/3/2016,53,33,1,0.06,0,California,3,2016
46,Fresno,FAT,25,1/3/2016,55,36,1,0,0.86,California,3,2016
47,Hayward,HWD,6,1/3/2016,53,41,1,0,6.56,California,3,2016
54,Long Beach,LGB,24,1/3/2016,65,43,1,0,2.13,California,3,2016
55,Los Angeles,LAX,15,1/3/2016,63,45,1,0,2.76,California,3,2016
44,Red Bluff,RBL,33,1/3/2016,50,36,1,0,7.73,California,3,2016
45,Redding,RDD,34,1/3/2016,51,38,1,0,6.16,California,3,2016
44,Sacramento,SAC,34,1/3/2016,52,34,1,0,3.63,California,3,2016
49,Salinas,SNS,8,1/3/2016,57,41,1,0,6.46,California,3,2016
55,San Diego,SAN,24,1/3/2016,64,45,1,0,1.83,California,3,2016
46,San Francisco,SFO,10,1/3/2016,51,41,1,0.04,4.43,California,3,2016
39,Sandberg,SDB,8,1/3/2016,44,33,1,0,18.8,California,3,2016
51,Santa Barbara,SBA,12,1/3/2016,62,39,1,0,4.9,California,3,2016
51,Santa Maria,SMX,21,1/3/2016,63,37,1,0,3.86,California,3,2016
42,Stockton,SCK,26,1/3/2016,51,33,1,0,1.86,California,3,2016
14,Alamosa,ALS,32,1/3/2016,33,-5,1,0,1.4,Colorado,3,2016
28,Colorado Springs,COS,15,1/3/2016,45,9,1,0,3.13,Colorado,3,2016
-10,Craig,CAG,12,1/3/2016,3,-23,1,0,0.4,Colorado,3,2016
27,Denver,DEN,20,1/3/2016,40,12,1,0,7.2,Colorado,3,2016
14,Grand Junction,GJT,8,1/3/2016,24,4,1,0,4.46,Colorado,3,2016
26,Pueblo,PUB,27,1/3/2016,47,4,1,0,1.93,Colorado,3,2016
38,Bridgeport,BDR,27,1/3/2016,43,32,1,0,8.86,Connecticut,3,2016
34,Windsor Locks,BDL,24,1/3/2016,40,27,1,0,6.2,Connecticut,3,2016
37,Wilmington,ILG,28,1/3/2016,46,27,1,0,6.43,Delaware,3,2016
63,Daytona Beach,DAB,32,1/3/2016,68,58,1,0.75,6.23,Florida,3,2016
76,Fort Lauderdale,FLL,28,1/3/2016,82,70,1,0.49,5.16,Florida,3,2016
56,Gainesville,GNV,33,1/3/2016,62,51,1,0.62,4.6,Florida,3,2016
56,Jacksonville,JAX,31,1/3/2016,61,50,1,0.49,4.83,Florida,3,2016
79,Key West,EYW,17,1/3/2016,82,74,1,0.5,4.53,Florida,3,2016
76,Miami,MIA,17,1/3/2016,82,70,1,1.13,3.33,Florida,3,2016
65,Orlando,MCO,31,1/3/2016,72,57,1,0.14,6.93,Florida,3,2016
48,Pensacola,PNS,35,1/3/2016,52,44,1,0.12,9.33,Florida,3,2016
53,Tallahassee,TLH,34,1/3/2016,57,48,1,0.46,6.16,Florida,3,2016
66,Tampa,TPA,8,1/3/2016,71,59,1,0.18,5.73,Florida,3,2016
69,Vero Beach,VRB,28,1/3/2016,74,62,1,0.97,6.9,Florida,3,2016
74,West Palm Beach,PBI,27,1/3/2016,80,67,1,0.24,6.83,Florida,3,2016
51,Alma,AMG,32,1/3/2016,58,47,1,0.66,5.06,Georgia,3,2016
45,Athens,AHN,29,1/3/2016,54,36,1,0,5.1,Georgia,3,2016
42,Atlanta,ATL,31,1/3/2016,48,36,1,0,10.93,Georgia,3,2016
48,Augusta,AGS,31,1/3/2016,56,41,1,0,3.06,Georgia,3,2016
47,Macon,MCN,31,1/3/2016,53,40,1,0.01,5.46,Georgia,3,2016
56,Savannah,SAV,31,1/3/2016,62,49,1,0.41,5,Georgia,3,2016
73,Hilo,ITO,20,1/3/2016,81,65,1,0.11,3.33,Hawaii,3,2016
73,Honolulu,HNL,24,1/3/2016,81,64,1,0,5.13,Hawaii,3,2016
71,Kahului,OGG,3,1/3/2016,80,60,1,0.04,8.4,Hawaii,3,2016
72,Kaunakakai,MKK,14,1/3/2016,79,64,1,0.04,8.86,Hawaii,3,2016
70,Lihue,LIH,23,1/3/2016,79,60,1,0,6.06,Hawaii,3,2016
15,Boise,BOI,16,1/3/2016,23,7,1,0,3,Idaho,3,2016
21,Lewiston,LWS,9,1/3/2016,29,12,1,0,2.56,Idaho,3,2016
8,Pocatello,PIH,2,1/3/2016,21,-4,1,0,2.66,Idaho,3,2016
25,Chicago,ORD,28,1/3/2016,30,20,1,0,12.16,Illinois,3,2016
25,Moline,MLI,28,1/3/2016,31,19,1,0,10.9,Illinois,3,2016
29,Peoria,PIA,28,1/3/2016,35,22,1,0,8.2,Illinois,3,2016
29,Quincy,UIN,28,1/3/2016,35,22,1,0,10.53,Illinois,3,2016
24,Rockford,RFD,28,1/3/2016,30,18,1,0,9.73,Illinois,3,2016
31,Springfield,SPI,27,1/3/2016,37,24,1,0,9.96,Illinois,3,2016
35,Evansville,EVV,27,1/3/2016,43,27,1,0,6.06,Indiana,3,2016
29,Fort Wayne,FWA,26,1/3/2016,31,25,1,0,13.2,Indiana,3,2016
29,Indianapolis,IND,26,1/3/2016,34,24,1,0,10.73,Indiana,3,2016
27,South Bend,SBN,26,1/3/2016,30,23,1,0.03,11.83,Indiana,3,2016
22,Cedar Rapids,CID,28,1/3/2016,28,15,1,0,11.46,Iowa,3,2016
24,Des Moines,DSM,30,1/3/2016,32,16,1,0,10,Iowa,3,2016
21,Dubuque,DBQ,28,1/3/2016,27,14,1,0,11.86,Iowa,3,2016
21,Sioux City,SUX,30,1/3/2016,31,11,1,0,8.63,Iowa,3,2016
22,Waterloo,ALO,28,1/3/2016,29,13,1,0,11.06,Iowa,3,2016
31,Concordia,CNK,29,1/3/2016,43,18,1,0,8.96,Kansas,3,2016
31,Dodge City,DDC,31,1/3/2016,46,16,1,0,8.36,Kansas,3,2016
30,Goodland,GLD,28,1/3/2016,46,13,1,0,8.1,Kansas,3,2016
34,Medicine Lodge,P28,32,1/3/2016,49,19,1,0,4.9,Kansas,3,2016
32,Topeka,TOP,29,1/3/2016,43,22,1,0,5.96,Kansas,3,2016
33,Wichita,ICT,29,1/3/2016,45,21,1,0,5.96,Kansas,3,2016
33,Covington,CVG,26,1/3/2016,39,27,1,0,7.73,Kentucky,3,2016
37,Jackson,JKL,24,1/3/2016,45,28,1,0,2.93,Kentucky,3,2016
35,Lexington,LEX,25,1/3/2016,42,27,1,0,7.93,Kentucky,3,2016
38,Louisville,SDF,27,1/3/2016,45,31,1,0,6.7,Kentucky,3,2016
36,Paducah,PAH,27,1/3/2016,47,25,1,0,5.6,Kentucky,3,2016
47,Baton Rouge,BTR,23,1/3/2016,53,40,1,0.09,3.43,Louisiana,3,2016
47,Lake Charles,LCH,12,1/3/2016,52,43,1,0.08,8.33,Louisiana,3,2016
50,New Orleans,MSY,13,1/3/2016,54,46,1,0.59,11.93,Louisiana,3,2016
46,Shreveport,SHV,21,1/3/2016,53,39,1,0,5.36,Louisiana,3,2016
47,Slidell,ASD,23,1/3/2016,53,42,1,0.22,6.66,Louisiana,3,2016
29,Bangor,BGR,24,1/3/2016,35,22,1,0,4.6,Maine,3,2016
23,Caribou,CAR,25,1/3/2016,29,17,1,0.1,5.66,Maine,3,2016
34,Portland,PWM,24,1/3/2016,39,28,1,0.01,7.53,Maine,3,2016
37,Baltimore,BWI,27,1/3/2016,48,26,1,0,5.36,Maryland,3,2016
38,Salisbury,SBY,27,1/3/2016,48,28,1,0,3.46,Maryland,3,2016
37,Boston,BOS,25,1/3/2016,41,31,1,0,11.83,Massachusetts,3,2016
60,Milton,MQE,25,1/3/2016,60,60,1,0,11.6,Massachusetts,3,2016
31,Worcester,ORH,25,1/3/2016,35,26,1,0,11.56,Massachusetts,3,2016
27,Alpena,APN,26,1/3/2016,32,21,1,0.01,8.96,Michigan,3,2016
32,Detroit,DTW,24,1/3/2016,36,27,1,0,12.96,Michigan,3,2016
31,Flint,FNT,27,1/3/2016,34,27,1,0.05,11.13,Michigan,3,2016
30,Grand Rapids,GRR,27,1/3/2016,33,26,1,0.04,13.3,Michigan,3,2016
26,Houghton Lake,HTL,27,1/3/2016,30,21,1,0.08,11.16,Michigan,3,2016
29,Lansing,LAN,26,1/3/2016,32,25,1,0.04,12.5,Michigan,3,2016
23,Marquette,MQT,0,1/3/2016,27,18,1,0.21,0,Michigan,3,2016
31,Muskegon,MKG,28,1/3/2016,35,27,1,0,13.23,Michigan,3,2016
24,Sault Ste Marie,ANJ,28,1/3/2016,31,17,1,0.04,9.56,Michigan,3,2016
22,Duluth,DLH,30,1/3/2016,27,17,1,0,11.56,Minnesota,3,2016
21,International Falls,INL,29,1/3/2016,25,15,1,0,7.76,Minnesota,3,2016
23,Minneapolis,MSP,28,1/3/2016,30,16,1,0,9.36,Minnesota,3,2016
19,Rochester,RST,29,1/3/2016,26,13,1,0,13.73,Minnesota,3,2016
20,St Cloud,STC,29,1/3/2016,29,10,1,0,9.03,Minnesota,3,2016
42,Greenville,GLH,30,1/3/2016,48,35,1,0,4.56,Mississippi,3,2016
40,Greenwood,GWO,23,1/3/2016,48,32,1,0,2.36,Mississippi,3,2016
47,Gulfport,GPT,35,1/3/2016,52,42,1,0.38,9.76,Mississippi,3,2016
46,Hattiesburg,HBG,34,1/3/2016,51,40,1,0.02,5.76,Mississippi,3,2016
44,Jackson,JAN,33,1/3/2016,50,38,1,0,5.43,Mississippi,3,2016
43,Meridian,MEI,34,1/3/2016,49,36,1,0.01,5.56,Mississippi,3,2016
40,Tupelo,TUP,23,1/3/2016,50,31,1,0,4.13,Mississippi,3,2016
37,Cape Girardeau,CGI,29,1/3/2016,46,27,1,0,5.96,Missouri,3,2016
33,Columbia,COU,28,1/3/2016,41,24,1,0,9.26,Missouri,3,2016
29,Kansas City,MCI,28,1/3/2016,38,20,1,0,8.13,Missouri,3,2016
33,Rolla/Vichy,VIH,27,1/3/2016,41,24,1,0,8.63,Missouri,3,2016
35,Springfield,SGF,28,1/3/2016,45,23,1,0,7.5,Missouri,3,2016
26,St Joseph,STJ,28,1/3/2016,36,16,1,0,5.5,Missouri,3,2016
36,St Louis,STL,28,1/3/2016,43,29,1,0,9.03,Missouri,3,2016
23,Billings,BIL,22,1/3/2016,29,16,1,0,18.86,Montana,3,2016
0,Butte,BTM,15,1/3/2016,13,-12,1,0,1.8,Montana,3,2016
8,Cut Bank,CTB,21,1/3/2016,22,-6,1,0,4.83,Montana,3,2016
7,Dillon,DLN,19,1/3/2016,16,-2,1,0,6.4,Montana,3,2016
8,Glasgow,GGW,23,1/3/2016,18,-1,1,0,6.16,Montana,3,2016
17,Great Falls,GTF,22,1/3/2016,27,7,1,0,11,Montana,3,2016
10,Havre,HVR,18,1/3/2016,20,0,1,0,9,Montana,3,2016
3,Helena,HLN,23,1/3/2016,12,-5,1,0,0.53,Montana,3,2016
6,Kalispell,GPI,31,1/3/2016,16,-3,1,0.01,1.6,Montana,3,2016
19,Miles City,MLS,21,1/3/2016,31,6,1,0,6.26,Montana,3,2016
7,Missoula,MSO,12,1/3/2016,16,-2,1,0,2.33,Montana,3,2016
26,Grand Island,GRI,30,1/3/2016,37,15,1,0,9.03,Nebraska,3,2016
26,Lincoln,LNK,18,1/3/2016,36,16,1,0,5.7,Nebraska,3,2016
22,Norfolk,OFK,29,1/3/2016,32,12,1,0,9.43,Nebraska,3,2016
26,North Platte,LBF,30,1/3/2016,43,8,1,0,6.7,Nebraska,3,2016
22,Omaha,OMA,31,1/3/2016,31,12,1,0,6.83,Nebraska,3,2016
18,Scottsbluff,BFF,21,1/3/2016,31,5,1,0,6.36,Nebraska,3,2016
21,Sidney,SNY,28,1/3/2016,33,8,1,0,10.86,Nebraska,3,2016
20,Valentine,VTN,26,1/3/2016,34,7,1,0,7.8,Nebraska,3,2016
7,Ely,ELY,26,1/3/2016,22,-8,1,0,3.46,Nevada,3,2016
12,Eureka,P68,12,1/3/2016,24,-7,1,0,3.4,Nevada,3,2016
44,Las Vegas,LAS,24,1/3/2016,52,35,1,0,1.03,Nevada,3,2016
39,Mercury,DRA,9,1/3/2016,47,30,1,0,7.96,Nevada,3,2016
22,Reno,RNO,18,1/3/2016,29,15,1,0,2.96,Nevada,3,2016
12,Winnemucca,WMC,8,1/3/2016,25,-1,1,0,6.6,Nevada,3,2016
34,Concord,CON,24,1/3/2016,39,29,1,0,6.16,New Hampshire,3,2016
60,Mt. Washington,MWN,27,1/3/2016,60,60,1,0,52.6,New Hampshire,3,2016
36,Atlantic City,ACY,28,1/3/2016,46,26,1,0,6.26,New Jersey,3,2016
37,Newark,EWR,25,1/3/2016,44,30,1,0,10.1,New Jersey,3,2016
31,Albuquerque,ABQ,27,1/3/2016,38,23,1,0,4.63,New Mexico,3,2016
31,Clayton,CAO,27,1/3/2016,46,15,1,0,5.06,New Mexico,3,2016
27,Roswell,ROW,17,1/3/2016,36,17,1,0.02,1.8,New Mexico,3,2016
33,Albany,ALB,25,1/3/2016,38,28,1,0.01,6.23,New York,3,2016
25,Binghamton,BGM,26,1/3/2016,30,21,1,0.01,8.86,New York,3,2016
29,Buffalo,BUF,26,1/3/2016,34,23,1,0.13,13.73,New York,3,2016
33,Glens Falls,GFL,21,1/3/2016,37,29,1,0.01,7.3,New York,3,2016
37,Islip,ISP,27,1/3/2016,44,30,1,0,8.63,New York,3,2016
40,New York,LGA,27,1/3/2016,43,35,1,0,11.7,New York,3,2016
28,Rochester,ROC,26,1/3/2016,34,22,1,0.05,11.23,New York,3,2016
29,Syracuse,SYR,24,1/3/2016,34,23,1,0.19,11.5,New York,3,2016
39,Asheville,AVL,34,1/3/2016,46,30,1,0,10.16,North Carolina,3,2016
50,Cape Hatteras,HSE,21,1/3/2016,56,44,1,0.16,4.43,North Carolina,3,2016
43,Charlotte,CLT,18,1/3/2016,53,33,1,0,2.3,North Carolina,3,2016
41,Greensboro,GSO,30,1/3/2016,51,31,1,0,4.2,North Carolina,3,2016
43,Hickory,HKY,31,1/3/2016,53,32,1,0,2.36,North Carolina,3,2016
43,Raleigh/Durham,RDU,27,1/3/2016,52,35,1,0,1.86,North Carolina,3,2016
48,Wilmington,ILM,32,1/3/2016,56,40,1,0.63,5.03,North Carolina,3,2016
21,Bismarck,BIS,25,1/3/2016,30,12,1,0,7.9,North Dakota,3,2016
20,Dickinson,DIK,25,1/3/2016,30,9,1,0,10.76,North Dakota,3,2016
20,Fargo,FAR,27,1/3/2016,28,12,1,0,7.8,North Dakota,3,2016
19,Grand Forks,GFK,28,1/3/2016,28,10,1,0,9.46,North Dakota,3,2016
21,Williston,ISN,24,1/3/2016,26,9,1,0,8.1,North Dakota,3,2016
29,Akron,CAK,26,1/3/2016,32,25,1,0.05,11.4,Ohio,3,2016
29,Cleveland,CLE,25,1/3/2016,32,26,1,0.02,12.43,Ohio,3,2016
31,Columbus,CMH,26,1/3/2016,35,26,1,0,8.53,Ohio,3,2016
30,Dayton,DAY,26,1/3/2016,35,24,1,0,11.93,Ohio,3,2016
27,Mansfield,MFD,24,1/3/2016,31,23,1,0,11.46,Ohio,3,2016
29,Toledo,TOL,26,1/3/2016,31,25,1,0,12.7,Ohio,3,2016
28,Youngstown/Warren,YNG,25,1/3/2016,32,24,1,0.03,11.23,Ohio,3,2016
33,Gage,GAG,28,1/3/2016,47,18,1,0,5.46,Oklahoma,3,2016
35,Oklahoma City,OKC,30,1/3/2016,46,24,1,0,7.16,Oklahoma,3,2016
33,Ponca City,PNC,28,1/3/2016,47,20,1,0,3.96,Oklahoma,3,2016
36,Tulsa,TUL,29,1/3/2016,48,24,1,0,5.1,Oklahoma,3,2016
36,Astoria,AST,9,1/3/2016,42,30,1,0.21,9.46,Oregon,3,2016
7,Burns,BNO,11,1/3/2016,21,-6,1,0.06,3.5,Oregon,3,2016
30,Eugene,EUG,1,1/3/2016,36,23,1,0.06,7.86,Oregon,3,2016
34,Medford,MFR,9,1/3/2016,43,24,1,0.01,3.4,Oregon,3,2016
19,Pendleton,PDT,12,1/3/2016,20,17,1,0.01,4,Oregon,3,2016
32,Portland,PDX,9,1/3/2016,35,29,1,0.31,19.93,Oregon,3,2016
15,Redmond,RDM,32,1/3/2016,24,6,1,0,2.8,Oregon,3,2016
32,Salem,SLE,34,1/3/2016,38,25,1,0.29,7.13,Oregon,3,2016
34,Allentown,ABE,27,1/3/2016,41,25,1,0,8.3,Pennsylvania,3,2016
29,Erie,ERI,24,1/3/2016,33,26,1,0.31,13.96,Pennsylvania,3,2016
36,Harrisburg,MDT,30,1/3/2016,43,29,1,0,8.8,Pennsylvania,3,2016
39,Philadelphia,PHL,27,1/3/2016,45,31,1,0,8.3,Pennsylvania,3,2016
31,Pittsburgh,PIT,25,1/3/2016,35,27,1,0.01,9.53,Pennsylvania,3,2016
32,Wilkes-Barre/Scranton,AVP,25,1/3/2016,35,28,1,0,9.13,Pennsylvania,3,2016
31,Williamsport,IPT,26,1/3/2016,35,25,1,0.01,7.83,Pennsylvania,3,2016
77,San Juan,SJU,10,1/3/2016,83,71,1,0.05,5.9,Puerto Rico,3,2016
36,Providence,PVD,26,1/3/2016,43,28,1,0,7.36,Rhode Island,3,2016
45,Anderson,AND,30,1/3/2016,54,35,1,0,1.13,South Carolina,3,2016
53,Charleston,CHS,22,1/3/2016,61,45,1,0.55,3.86,South Carolina,3,2016
49,Columbia,CAE,21,1/3/2016,57,40,1,0,2.3,South Carolina,3,2016
45,Greer,GSP,19,1/3/2016,55,35,1,0,2.53,South Carolina,3,2016
18,Aberdeen,ABR,26,1/3/2016,29,7,1,0,6.16,South Dakota,3,2016
18,Huron,HON,29,1/3/2016,26,9,1,0,8.4,South Dakota,3,2016
22,Pierre,PIR,27,1/3/2016,29,15,1,0,10.5,South Dakota,3,2016
24,Rapid City,RAP,26,1/3/2016,37,11,1,0,3.26,South Dakota,3,2016
18,Sioux Falls,FSD,30,1/3/2016,26,9,1,0,7.2,South Dakota,3,2016
34,Bristol/Jhnsn Cty/Kngsprt,TRI,23,1/3/2016,44,24,1,0,3.93,Tennessee,3,2016
40,Chattanooga,CHA,35,1/3/2016,48,31,1,0,3.6,Tennessee,3,2016
37,Clarksville,CKV,28,1/3/2016,47,27,1,0,5.66,Tennessee,3,2016
34,Crossville,CSV,29,1/3/2016,44,24,1,0,4.23,Tennessee,3,2016
36,Knoxville,TYS,26,1/3/2016,45,27,1,0,2.5,Tennessee,3,2016
40,Memphis,MEM,30,1/3/2016,51,29,1,0,3.53,Tennessee,3,2016
39,Nashville,BNA,29,1/3/2016,50,28,1,0,3.73,Tennessee,3,2016
37,Oak Ridge,OQT,18,1/3/2016,47,27,1,0,0.5,Tennessee,3,2016
41,Abilene,ABI,20,1/3/2016,47,34,1,0,5.76,Texas,3,2016
34,Amarillo,AMA,29,1/3/2016,45,22,1,0,4.73,Texas,3,2016
46,Austin/Bergstrom,AUS,22,1/3/2016,53,40,1,0.22,8,Texas,3,2016
47,Austin/City,ATT,22,1/3/2016,52,42,1,0.2,4.1,Texas,3,2016
48,Beaumont/Port Arthur,BPT,11,1/3/2016,53,43,1,0.02,9.56,Texas,3,2016
47,Brownsville,BRO,32,1/3/2016,50,42,1,1.54,13.2,Texas,3,2016
38,Childress,CDS,30,1/3/2016,47,29,1,0,4.63,Texas,3,2016
48,College Station,CLL,33,1/3/2016,53,43,1,0.01,7.73,Texas,3,2016
47,Corpus Christi,CRP,35,1/3/2016,51,42,1,1.81,13.03,Texas,3,2016
35,Dalhart,DHT,29,1/3/2016,50,19,1,0,4.23,Texas,3,2016
44,Dallas,DAL,33,1/3/2016,51,36,1,0,4.9,Texas,3,2016
46,Dallas-Fort Worth,DFW,32,1/3/2016,53,38,1,0,6.73,Texas,3,2016
47,Del Rio,DRT,22,1/3/2016,51,42,1,0.57,3.16,Texas,3,2016
37,El Paso,ELP,4,1/3/2016,44,31,1,0,5,Texas,3,2016
44,Fort Worth,FTW,31,1/3/2016,52,36,1,0,5.93,Texas,3,2016
49,Galveston,GLS,12,1/3/2016,52,44,1,0.23,13.9,Texas,3,2016
50,Houston,HOU,11,1/3/2016,54,45,1,0.09,9.56,Texas,3,2016
34,Lubbock,LBB,21,1/3/2016,43,25,1,0,5.1,Texas,3,2016
37,Midland,MAF,21,1/3/2016,43,31,1,0.04,6.4,Texas,3,2016
42,San Angelo,SJT,19,1/3/2016,48,35,1,0,4.93,Texas,3,2016
47,San Antonio,SAT,22,1/3/2016,52,41,1,1.04,6.2,Texas,3,2016
47,Victoria,VCT,22,1/3/2016,52,42,1,1.29,8.46,Texas,3,2016
45,Waco,ACT,33,1/3/2016,51,39,1,0,6.26,Texas,3,2016
40,Wichita Falls,SPS,31,1/3/2016,48,31,1,0,8.06,Texas,3,2016
15,Salt Lake City,SLC,32,1/3/2016,24,7,1,0,1.6,Utah,3,2016
41,Blacksburg,BCB,28,1/3/2016,49,33,1,0,9.33,VA,3,2016
31,Burlington,BTV,23,1/3/2016,35,26,1,0.03,6.5,Vermont,3,2016
39,Lynchburg,LYH,25,1/3/2016,49,29,1,0,3.6,Virginia,3,2016
45,Norfolk,ORF,16,1/3/2016,51,39,1,0,4.7,Virginia,3,2016
41,Richmond,RIC,27,1/3/2016,51,30,1,0,3.6,Virginia,3,2016
41,Roanoke,ROA,28,1/3/2016,49,33,1,0,9.33,Virginia,3,2016
41,Wallops Island,WAL,28,1/3/2016,49,33,1,0,4.26,Virginia,3,2016
